elapsed_s,rss_bytes
0.000290,211181568
0.019322,211181568
0.034321,211181568
0.050271,211173376
0.065613,211173376
0.081086,211169280
0.096884,211161088
0.112382,211161088
0.127751,211152896
0.143289,211152896
0.158931,211148800
0.174964,211140608
0.190459,211140608
0.206003,211132416
0.221129,211132416
0.236222,211161088
0.251873,211300352
0.267448,211300352
0.282911,211439616
0.298436,211963904
0.314448,211959808
0.329993,211951616
0.345983,211951616
0.361648,212090880
0.377537,212090880
0.393402,212160512
0.408953,212299776
0.424478,212299776
0.440001,212439040
0.456036,212439040
0.471529,212508672
0.486598,212647936
0.502557,212709376
0.518114,212848640
0.534104,212848640
0.549570,212918272
0.565601,213057536
0.581625,213123072
0.597681,214167552
0.613670,214171648
0.629183,214163456
0.645715,214159360
0.661238,214159360
0.677281,214151168
0.692793,214155264
0.708373,214155264
0.724219,214228992
0.739702,214228992
0.755708,214298624
0.771330,214368256
0.786668,214368256
0.802639,214368256
0.818150,214450176
0.833285,214519808
0.849406,214519808
0.864964,214589440
0.880489,214589440
0.895967,214659072
0.912047,214732800
0.928098,214732800
0.944102,214904832
0.960128,214970368
0.975687,215126016
0.991704,215330816
1.007693,215400448
1.023742,215605248
1.039012,215707648
1.054992,215867392
1.069711,215916544
1.084705,216154112
1.100231,216285184
1.115797,216346624
1.131711,216469504
1.147738,216604672
1.162961,216731648
1.178070,216940544
1.194112,217038848
1.209238,217128960
1.225778,217313280
1.241763,217444352
1.257828,217505792
1.273166,217706496
1.288705,217841664
1.304723,217972736
1.320150,219140096
1.335956,219209728
1.351463,219439104
1.367522,219611136
1.383564,219738112
1.398743,219873280
1.414775,219930624
1.430064,220135424
1.446100,220192768
1.462320,220323840
1.477959,220524544
1.493974,220585984
1.509493,220803072
1.526006,220852224
1.542033,221061120
1.558066,221126656
1.573620,221245440
1.589139,221446144
1.605323,221511680
1.619893,221638656
1.635927,221777920
1.651431,221904896
1.667463,222040064
1.683485,222179328
1.699009,222310400
1.714941,222441472
1.730287,222748672
1.745983,222810112
1.761367,222867456
1.776874,223014912
1.793093,223137792
1.808399,223268864
1.824425,223334400
1.839684,223535104
1.855674,223670272
1.871694,223809536
1.887725,223944704
1.903738,224145408
1.920093,224243712
1.935901,224333824
1.951412,224591872
1.967427,224649216
1.983429,224718848
1.998971,224919552
2.014434,225054720
2.029942,225177600
2.046173,225316864
2.061541,225382400
2.077084,225599488
2.093115,225718272
2.108590,225849344
2.124614,225980416
2.139781,226041856
2.155794,226246656
2.171436,226299904
2.186929,226664448
2.202911,226725888
2.218452,226848768
2.234465,226918400
2.249977,226983936
2.266321,227192832
2.281469,227319808
2.297021,227385344
2.313326,227590144
2.328509,227651584
