elapsed_s,rss_bytes
0.000298,208584704
0.012048,208580608
0.027476,208576512
0.042646,208576512
0.058174,208568320
0.074176,208580608
0.089877,208752640
0.105185,208879616
0.120566,209006592
0.136232,209133568
0.151394,209260544
0.166904,209387520
0.182050,209514496
0.197758,209616896
0.212684,209768448
0.227828,209891328
0.243762,210022400
0.259216,210116608
0.275329,210272256
0.290813,210403328
0.306055,210526208
0.321839,210640896
0.337393,210939904
0.352893,211070976
0.368413,211271680
0.383770,211480576
0.399302,211689472
0.414803,212086784
0.430298,212221952
0.445806,212426752
0.461315,212860928
0.476825,212987904
0.492337,213123072
0.507842,213331968
0.523370,213848064
0.538876,213983232
0.554384,215105536
0.569891,215240704
0.585403,215437312
0.600918,215572480
0.616404,215707648
0.631909,215838720
0.647425,215977984
0.662933,216420352
0.678455,216530944
0.693954,216686592
0.709459,216821760
0.725235,216956928
0.740467,217513984
0.755987,217645056
0.771688,217780224
0.786987,217915392
0.802494,218107904
0.818021,218255360
0.833527,218857472
0.849243,218988544
0.864724,219193344
0.880059,219324416
0.895543,219459584
0.911257,219664384
0.926579,219873280
0.942275,220459008
0.957772,220590080
0.973276,220721152
0.988997,220848128
1.004319,220987392
1.020064,221192192
1.035765,221331456
1.051104,222134272
1.066585,222261248
1.082283,222392320
1.097790,223547392
1.113309,223694848
1.128623,223825920
1.144134,224026624
1.159630,224251904
1.175321,224444416
1.190839,225239040
1.206348,225366016
1.221684,225497088
1.237183,225619968
1.252559,225746944
1.268261,225882112
1.283446,225984512
1.298905,226152448
1.314604,226430976
1.329931,226635776
1.345624,227426304
1.360938,227553280
1.376638,227680256
1.424757,227741696
1.438705,227807232
1.454471,227876864
1.470249,227926016
1.485496,228007936
1.501016,228139008
1.516675,228208640
1.532323,228274176
1.548029,228401152
1.563564,228548608
1.579090,228687872
1.594583,228827136
1.610084,228896768
1.625606,229871616
1.641294,229937152
1.656810,229994496
1.672119,230039552
1.687616,230125568
1.703129,230252544
1.718637,230313984
1.734345,230375424
1.749661,230440960
1.765160,230572032
1.780673,230629376
1.796181,230694912
1.811685,230760448
1.827195,230821888
1.842705,230952960
1.858205,231092224
1.873711,231137280
1.889224,231231488
1.904732,231505920
1.920260,231575552
1.935758,232562688
1.951257,232620032
1.966764,232755200
1.982268,232816640
1.997989,232882176
2.013292,232939520
2.029013,233070592
2.044508,233136128
2.059834,233197568
2.075329,233259008
2.091050,233385984
2.106339,233451520
2.121862,233521152
2.137360,233582592
2.152879,233652224
2.168393,233787392
2.183893,233852928
2.199393,234000384
2.214917,234139648
2.230405,234209280
2.245948,234344448
2.261764,234553344
2.277148,234606592
2.292667,235626496
2.308153,235753472
2.323657,235814912
2.339180,235876352
2.354676,235941888
2.370192,236072960
2.385692,236089344
2.401070,236261376
2.416588,236322816
2.432084,236449792
2.447595,236515328
2.463088,236576768
2.478874,236642304
2.494558,236765184
2.509880,236830720
2.525376,236896256
2.540885,236957696
2.556602,237088768
2.572136,237150208
2.587654,237215744
2.603162,237281280
2.618676,237486080
2.634190,237555712
2.649688,237690880
2.665227,237830144
2.680713,237936640
2.696258,239083520
2.711745,239144960
2.727238,239276032
2.742758,239333376
2.758296,239398912
2.773796,241561600
2.789324,241623040
2.804805,241664000
2.820356,241750016
2.835838,241942528
2.851330,242008064
2.866845,242065408
2.882365,242130944
2.897867,242192384
2.913398,242323456
2.928886,242384896
2.944411,242450432
2.959915,242511872
2.975415,242642944
2.991153,242700288
3.006653,242765824
